"Table 8: Annual cement and clinker production and sales (thousand tonnes), United Kingdom/Great Britain [notes 1, 2]",,,,,,,,,,,,
This worksheet contains one table. Some cells refer to notes which can be found in the notes worksheet. ,,,,,,,,,,,,
"Freeze panes are turned on. To turn off, select the 'View' ribbon, then 'Freeze panes', then 'Unfreeze panes': or use [Alt,W,F]",,,,,,,,,,,,
Source: Mineral Products Association (MPA),,,,,,,,,,,,
Year,Clinker production,Cement production,Cement exports from UK/GB production [note 2],Cement sales from UK/GB production [note 2],Cement imports by UK/GB producers [note 2],Cement sales by UK/GB producers (includes imports) [note 2],Estimated cement imports by non-UK/GB producers [note 2],All cement imports,Total cement sales (includes all imports),"Other cementitious materials sales (fly ash, ggbs) [note 3]","Estimated ggbs and fly ash imports by non-UK/GB producers [notes 2, 3]",Total cement and cementitious materials sales [note 3]
2013,"6,712","8,203",0,"8,204",117,"8,321","1,322","1,439","9,643","1,892",[x],"11,535"
2014,"7,197","8,958",3,"8,751",227,"8,979","1,590","1,817","10,568","1,865",[x],"12,433"
2015,"7,804","9,235",[x],"9,526",635,"10,161","1,425","2,060","11,585","2,382",[x],"13,967"
2016,"8,056","9,370",[x],[x],[x],"10,499","1,503","1,503","12,001","3,003",[x],"15,004"
2017,"7,824","9,359",[x],"9,063","1,114","10,177","1,619","2,733","11,796","3,159",[x],"14,955"
2018,"7,734","9,197",[x],"9,141",935,"10,076","1,663","2,598","11,739","3,449",[x],"15,188"
2019,"7,830","9,079",[x],"9,078",801,"9,878","1,727","2,527","11,605","3,613",[x],"15,218"
2020,"6,941","8,046",[x],"8,030",560,"8,590","1,791","2,351","10,381","1,821","1,020","13,222"
2021,"7,367","9,008",[x],"9,077","1,083","10,160","2,207","3,290","12,367","2,148","1,114","15,629"
2022,"7,160","8,393",[x],"8,364","1,302","9,666","2,344","3,646","12,010","2,043","1,231","15,284"
2023,"6,357","7,689",[x],"7,486","1,266","8,752","2,330","3,596","11,082","1,663",966,"13,711"
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
